dummy,index,donki_date,cdaw_date,donki_speed,donki_ha,longitude,latitude,Accel,2nd_order_speed_final,2nd_order_speed_initial,2nd_order_speed_20R,Central_PA,MPA,sunspots,halo,Double_CME_100_MeV,target,100MeV_peak_intensity,threshold_time,peak_time,solar_wind_speed,100MeV_peak_intensity_ln,connection_angle_degrees,expected_richardson,expected_richardson_ln,Type_2_Area,richardson_formula_degrees_phi_2_solar_wind,diffusive_shock,V log V,CMEs_past_month,CMEs_past_9_hours,CMEs_over_1000_past_9_hrs,Max_speed_past_day,connection_angle_degrees_phi_2_solar_wind_sq_div,trained_richardson_ln,donki_speed_unnormalized
0,869,1/7/2014 18:24,1/7/2014 18:24,2061,49,30,-24,-60.8,1569,2085,1714,360,231,140,1,0,1,3.8035,115,250,381.8,1.335921695,-37.72799402,14.75944035,2.691882902,22122780,0.008846644,5.82E-13,15727.3809,45,0,0,0,-0.384911177,8283.717743048235,2061.0
0,264,1/27/2012 16:39,1/27/2012 18:27,2200,55,75,40,165.9,3090,1968,2761,360,296,65,1,0,1,9.6603,135,270,524.3,2.268024704,49.10712607,18.63575732,2.925082172,9747750,0.006772278,6.62E-13,16931.66781,22,0,0,0,-0.652111907,8842.213111718629,2200.0
0,615,5/22/2013 13:24,5/22/2013 13:25,1200,60,80,10,-13.2,1394,1532,1438,360,287,131,1,1,1,3.4067,71,305,449.3,1.225744081,30.52375553,0.759759893,-0.274752826,38832500,0.010104718,1.69E-14,8508.092203,23,1,0,650,-0.251946904,4822.738676721118,1200.0
0,868,1/6/2014 8:09,1/6/2014 8:00,1275,45,102,-3,-7.1,1360,1441,1385,360,274,167,1,0,1,2.8889,30,100,376.2,1.060875807,41.16772936,0.809690808,-0.211102823,12152160,0.008220676,3.73E-14,9117.144358,45,0,0,296,-0.458296901,5124.022921724092,1275.0
0,111,8/9/2011 8:30,8/9/2011 8:12,1175,20,62,-12,-40.6,1419,1797,1506,360,279,61,1,0,1,2.2871,-6,30,611.2,0.827284639,27.11866325,0.73221866,-0.311676094,180000,0.010655532,1.23E-14,8306.102526,11,0,0,850,-0.198870172,4722.294888453186,1175.0
0,587,4/11/2013 7:36,4/11/2013 7:24,1000,58,-25,-7,-8.1,792,929,819,360,85,126,1,1,1,1.7667,138,389,419.8,0.5691134,-79.67335842,0.085489021,-2.459367317,4606000,0.002335878,3.53E-16,6907.755279,10,0,0,0,-1.716561396,4017.2991422294285,1000.0
0,108,8/4/2011 4:10,8/4/2011 4:12,1950,60,40,14,-41.1,1074,1539,1208,360,298,92,1,0,1,1.5055,159,280,344.7,0.409125069,-29.72332974,11.45341058,2.438287553,28532700,0.01023735,5.08E-13,14772.39007,10,0,0,1320,-0.238906525,7837.657667099923,1950.0
0,422,7/23/2012 2:36,7/23/2012 2:36,2800,65,130,5,-24.6,1901,2103,1972,360,286,63,1,0,2,0.726,404,1189,445.5,-0.320205264,78.59866501,58.35989182,4.06662887,3355800,0.002445829,8.52E-13,22224.64915,42,0,0,0,-1.670565208,11253.119418416709,2800.0
0,421,7/19/2012 5:36,7/19/2012 4:24,1200,50,100,-20,13.1,472,,698,208,203,38,0,0,2,0.749,89,239,408.7,-0.289016295,47.40256772,0.532361456,-0.630432592,0,0.007080345,1.69E-14,8508.092203,44,0,0,0,-0.60762667,4822.382996955084,1200.0
0,860,12/28/2013 18:00,12/28/2013 17:36,769,65,101,-1,-26.7,989,1246,967,360,284,100,1,0,2,0.25,85,190,336.5,-1.386294361,32.90365934,0.154560064,-1.867172497,527000,0.009700552,7.97E-24,5110.074956,52,0,0,725,-0.292766576,3090.1319044493202,769.0
0,413,7/8/2012 16:48,7/8/2012 16:36,1000,30,90,-50,-117.2,907,2221,1442,212,234,117,0,0,2,0.669,107,552,447.2,-0.401971219,59.91399297,0.180230952,-1.713516185,0,0.004924581,3.53E-16,6907.755279,46,2,0,850,-0.970710263,4018.044993362017,1000.0
0,410,7/6/2012 23:12,7/6/2012 23:24,1200,40,65,-35,-56.1,1612,2040,1730,360,233,132,1,0,2,0.314,143,333,483,-1.158362293,38.64507996,0.652687224,-0.426657248,4239000,0.008680664,1.69E-14,8508.092203,43,0,0,1000,-0.403851326,4822.586772298873,1200.0
0,59,3/21/2011 2:54,3/21/2011 2:24,1000,70,130,20,8,1389,1294,1367,360,274,24,1,0,2,0.205,111,416,351,-1.5847453,66.3262414,0.144798248,-1.932413898,0,0.003956427,3.53E-16,6907.755279,9,0,0,0,-1.189607977,4017.826095648485,1000.0
0,722,9/29/2013 22:40,9/29/2013 22:12,1100,70,38,26,-5.3,1142,1217,1164,360,343,43,1,0,2,0.163,475,490,269.7,-1.814005078,-52.17790241,0.326598483,-1.119023742,19334780,0.006225984,3.78E-15,7703.372005,26,0,0,0,-0.73621782,4420.266945804879,1100.0
0,779,11/2/2013 4:48,11/2/2013 4:48,1078,75,145,5,-26.4,585,1050,708,360,239,101,1,0,2,0.202,361,397,328.7,-1.599487582,75.33122899,0.135801158,-1.996563537,0,0.002802163,2.47E-15,7527.526046,53,0,0,0,-1.534557615,4331.03136481006,1078.0
